ID_do_Par,Tipo_Diretorio,Pasta_Original,Musica_1,Musica_2,Similaridade,Plagio,caracteristicas_individuais,sim_spectral_rolloff,sim_mfcc,sim_tempo,sim_zero_crossing_rate,sim_spectral_centroid,sim_spectral_bandwidth,sim_tonnetz,sim_rms,sim_chroma,sim_mel_spectrogram
Plágios_12,Plágios,12,I’m Too Sexy.mp3,Look What You Made Me Do.mp3,0.9864,sim,"{'spectral_rolloff': '0.9771', 'mfcc': '0.9845', 'tempo': '1.0000', 'zero_crossing_rate': '0.9923', 'spectral_centroid': '0.9872', 'spectral_bandwidth': '0.9901', 'tonnetz': '0.9545', 'rms': '0.9980', 'chroma': '0.9947', 'mel_spectrogram': '0.9310'}",0.9771,0.9845,1.0000,0.9923,0.9872,0.9901,0.9545,0.9980,0.9947,0.9310
Plágios_2,Plágios,2,My Sweet Lord .mp3,The Chiffons - He´s So Fine.mp3,0.9890,sim,"{'spectral_rolloff': '0.9966', 'mfcc': '0.9955', 'tempo': '1.0000', 'zero_crossing_rate': '0.9925', 'spectral_centroid': '0.9977', 'spectral_bandwidth': '0.9840', 'tonnetz': '0.9352', 'rms': '0.9988', 'chroma': '0.9866', 'mel_spectrogram': '0.8945'}",0.9966,0.9955,1.0000,0.9925,0.9977,0.9840,0.9352,0.9988,0.9866,0.8945
Variadas_40,Variadas,40,GFRIEND - 바라 (Wish).mp3,HYOLYN & DASOM - 둘 중에 골라 (Summer or Summer).mp3,0.9955,não,"{'spectral_rolloff': '0.9998', 'mfcc': '0.9928', 'tempo': '1.0000', 'zero_crossing_rate': '0.9994', 'spectral_centroid': '0.9996', 'spectral_bandwidth': '0.9998', 'tonnetz': '0.9607', 'rms': '0.9977', 'chroma': '0.9979', 'mel_spectrogram': '0.9574'}",0.9998,0.9928,1.0000,0.9994,0.9996,0.9998,0.9607,0.9977,0.9979,0.9574
Plágios_57,Plágios,57,Gilberto Gil - “Duplo Sentido - Cidade Do Salvador.mp3,Season 2 by le FLEUR.mp3,0.9898,sim,"{'spectral_rolloff': '0.9987', 'mfcc': '0.9802', 'tempo': '1.0000', 'zero_crossing_rate': '0.9969', 'spectral_centroid': '0.9984', 'spectral_bandwidth': '0.9995', 'tonnetz': '0.9182', 'rms': '0.9967', 'chroma': '0.9971', 'mel_spectrogram': '0.9246'}",0.9987,0.9802,1.0000,0.9969,0.9984,0.9995,0.9182,0.9967,0.9971,0.9246
Plágios_37,Plágios,37,Killing Joke - Eighties.mp3,Nirvana - Come As You Are.mp3,0.9896,sim,"{'spectral_rolloff': '0.9840', 'mfcc': '0.9872', 'tempo': '1.0000', 'zero_crossing_rate': '0.9960', 'spectral_centroid': '0.9936', 'spectral_bandwidth': '0.9973', 'tonnetz': '0.9669', 'rms': '0.9939', 'chroma': '0.9974', 'mel_spectrogram': '0.9114'}",0.9840,0.9872,1.0000,0.9960,0.9936,0.9973,0.9669,0.9939,0.9974,0.9114
Plágios_52,Plágios,52,Ed Sheeran - Photograph (Official Lyric Video).mp3,Matt Cardle - Amazing.mp3,0.9851,sim,"{'spectral_rolloff': '0.9893', 'mfcc': '0.9929', 'tempo': '1.0000', 'zero_crossing_rate': '0.9981', 'spectral_centroid': '0.9964', 'spectral_bandwidth': '0.9923', 'tonnetz': '0.9261', 'rms': '0.9961', 'chroma': '0.9925', 'mel_spectrogram': '0.7511'}",0.9893,0.9929,1.0000,0.9981,0.9964,0.9923,0.9261,0.9961,0.9925,0.7511
Variadas_32,Variadas,32,Lee Mujin - 자취방 (Orpheus).mp3,Lovelyz - 인형 (Doll).mp3,0.9871,não,"{'spectral_rolloff': '0.9911', 'mfcc': '0.9866', 'tempo': '1.0000', 'zero_crossing_rate': '0.9964', 'spectral_centroid': '0.9976', 'spectral_bandwidth': '0.9647', 'tonnetz': '0.9717', 'rms': '0.9978', 'chroma': '0.9958', 'mel_spectrogram': '0.8973'}",0.9911,0.9866,1.0000,0.9964,0.9976,0.9647,0.9717,0.9978,0.9958,0.8973
Variadas_39,Variadas,39,G-reyish - 끼리끼리 (KKILI KKILI) (Ver. M).mp3,GFRIEND - 귀를 기울이면 (LOVE WHISPER).mp3,0.9853,não,"{'spectral_rolloff': '0.9854', 'mfcc': '0.9699', 'tempo': '1.0000', 'zero_crossing_rate': '0.9910', 'spectral_centroid': '0.9905', 'spectral_bandwidth': '0.9823', 'tonnetz': '0.9700', 'rms': '0.9991', 'chroma': '0.9973', 'mel_spectrogram': '0.9711'}",0.9854,0.9699,1.0000,0.9910,0.9905,0.9823,0.9700,0.9991,0.9973,0.9711
Plágios_6,Plágios,6,Dark Horse.mp3,Joyful Noise.mp3,0.9929,sim,"{'spectral_rolloff': '0.9989', 'mfcc': '0.9883', 'tempo': '1.0000', 'zero_crossing_rate': '0.9996', 'spectral_centroid': '0.9996', 'spectral_bandwidth': '0.9960', 'tonnetz': '0.9122', 'rms': '0.9915', 'chroma': '0.9982', 'mel_spectrogram': '0.9652'}",0.9989,0.9883,1.0000,0.9996,0.9996,0.9960,0.9122,0.9915,0.9982,0.9652
Plágios_28,Plágios,28,Astrud Gilberto - Maria Quiet.mp3,Deep Purple - Smoke On The Water.mp3,0.9878,sim,"{'spectral_rolloff': '0.9989', 'mfcc': '0.9870', 'tempo': '1.0000', 'zero_crossing_rate': '0.9994', 'spectral_centroid': '0.9998', 'spectral_bandwidth': '0.9996', 'tonnetz': '0.9943', 'rms': '0.9972', 'chroma': '0.9899', 'mel_spectrogram': '0.7851'}",0.9989,0.9870,1.0000,0.9994,0.9998,0.9996,0.9943,0.9972,0.9899,0.7851
